status,lot_no,stone_id,location,weight,shape,color,clarity,cut,polish,symmetry,rapnet_price,system_discount,system price,system amount,lab,certificate,certi_pdf_url,ratio,measurements,fluor_int,table,depth,crown_ht,crown_angle,pavilion_dep,pavilion_an,stone_type,v360,imgurl,eye_clean
Available,NRF09,53009,INDIA,1.02,Radiant,G,VS1,,EX,VG,7000,-97.2,196,199.92,IGI,564359899,Click Here,1.38,6.91 x 4.99 x 3.44,None,73,68.9,11,38.5,51.5,33.2,CVD,Click Here,Click Here,YES
Available,ADI16,54499A,INDIA,1.02,Radiant,H,SI1,EX,EX,EX,4600,-96.38,166.52,169.85,NC,,,,*3.128,None,77.35,64.83,0,43.48,0,0,CVD,Click Here,Click Here,YES
Available,ADI20,56411A,INDIA,1.02,Radiant,H,I1,VG,VG,VG,2700,-96.3,100,102,NC,,,1.45,6.92 x 4.76 x 3.38,None,65.03,71.05,0,46.47,0,0,CVD,Click Here,Click Here,NO
Available,ADI15,53752C,INDIA,1.01,Radiant,D,VVS2,,EX,EX,9400,-97.4,244.78,247.22,IGI,579358270,Click Here,1.77,7.72 x 4.36 x 2.90,None,69,66.5,12.5,41.9,47,38.2,CVD,Click Here,Click Here,YES
Available,ADI19,55199A,INDIA,1.01,Radiant,D,VVS2,,EX,EX,9400,-97.4,244.78,247.22,IGI,585307708,Click Here,1.52,7.17 x 4.71 x 3.32,None,72,70.5,12.5,46.9,52.5,31,CVD,Click Here,Click Here,YES
Available,ADI19,55330B,INDIA,1.01,Radiant,E,VS2,,EX,EX,7000,-97.4,182.28,184.1,IGI,574338569,Click Here,1.79,7.91 x 4.43 x 2.80,None,65,63.2,14,31,43,41.4,CVD,Click Here,Click Here,YES
Available,ADI20,56685B,INDIA,1.01,Radiant,E,VS2,,EX,EX,7000,-97.4,182.28,184.1,IGI,593378930,Click Here,1.34,6.46 x 4.83 x 3.36,None,68,69.6,15.5,46.9,49.5,30,CVD,Click Here,Click Here,YES
Available,NRF09,52974,INDIA,1.01,Radiant,F,VVS2,,VG,G,8000,-97.2,224,226.24,IGI,564359887,Click Here,1.49,7.30 x 4.90 x 3.20,None,66,65.3,12,35.5,49,31.8,CVD,Click Here,Click Here,YES
Available,ADI19,55221A,INDIA,1.01,Radiant,F,VS1,,EX,VG,7500,-97.2,210,212.1,IGI,591336875,Click Here,1.51,7.10 x 4.69 x 3.38,None,60,72.1,17.5,41.6,49,29.9,CVD,Click Here,Click Here,YES
Available,ADI15,53846A,INDIA,1.01,Radiant,F,VS1,,VG,EX,7500,-97.2,210,212.1,IGI,578327028,Click Here,1.62,7.40 x 4.57 x 2.92,None,63,63.9,12.5,24.4,43,45.4,CVD,Click Here,Click Here,YES
Available,ADI16,54415A,INDIA,1.01,Radiant,F,SI1,EX,EX,EX,5100,-96.8,163.2,164.83,NC,,,,*3.334,None,67.64,67.29,0,40.79,0,0,CVD,Click Here,Click Here,YES
Available,RPE-48,51324,INDIA,1.01,Radiant,G,VS2,,EX,EX,6400,-97.22,177.92,179.7,NC,,,1.8,8.10 x 4.49 x 2.71,,65.82,60.41,11.95,40.78,42.58,45.08,,Click Here,Click Here,YES
Available,RPE-48,51323,INDIA,1.01,Radiant,H,VS1,,VG,VG,6000,-96.93,184.2,186.04,NC,,,1.78,8.03 x 4.51 x 2.75,,63.41,61.04,11.54,31.89,43.85,40.45,,Click Here,Click Here,YES
Available,NRF09,53002A,INDIA,1.01,Radiant,H,VS2,EX,EX,EX,5500,-96.77,177.65,179.43,NC,,,,*3.37,None,72.79,68.73,0,46.54,0,0,CVD,Click Here,Click Here,YES
Available,ADI19,55767A,INDIA,1,Radiant,D,VS1,,EX,EX,8500,-97.26,233.33,233.33,IGI,584362878,Click Here,1.54,7.38 x 4.80 x 3.17,None,75,66,12,43.9,48.5,31.4,CVD,Click Here,Click Here,YES
Available,ADI15,53551A,INDIA,1,Radiant,E,VVS2,,EX,EX,8700,-97.36,229.8,229.8,IGI,578327063,Click Here,1.79,7.95 x 4.43 x 2.70,None,72,60.9,11.5,41,42.5,40.2,CVD,Click Here,Click Here,YES
Available,RPE 5201 174C,57559A,INDIA,1,Radiant,E,VVS2,,EX,EX,8700,-97.36,229.8,229.8,IGI,593378936,Click Here,1.44,7.05 x 4.90 x 3.16,None,74,64.5,12,46,46.5,31,CVD,Click Here,Click Here,YES
Available,ADI19,55765A,INDIA,1,Radiant,F,SI1,EX,EX,EX,5100,-96.37,185.13,185.13,NC,,,1.47,7.24 x 4.93 x 3.19,None,72.84,62.83,0,47.55,0,0,CVD,,,YES
Available,ADI14,56187B,INDIA,1,Radiant,G,VVS2,,EX,EX,7300,-97.4,190.09,190.09,IGI,593378929,Click Here,1.36,6.91 x 5.08 x 3.30,None,69,65,10,41.8,49,33.9,CVD,Click Here,Click Here,YES
Available,RPE 183 121,57034B,INDIA,1,Radiant,G,VS1,EX,EX,EX,7000,-97.27,191.1,191.1,NC,,,1.52,7.50 x 4.95 x 3.15,None,71.82,63.55,0,42.21,0,0,CVD,Click Here,Click Here,YES
Available,ADI19A,55866A,INDIA,1,Radiant,G,VS2,EX,EX,EX,6400,-97.1,185.6,185.6,NC,,,1.38,6.70 x 4.84 x 3.25,None,69.3,67.21,0,48.93,0,0,CVD,Click Here,Click Here,YES
Available,RPE 1339 259,57841A,INDIA,1,Radiant,G,VS2,VG,VG,VG,6400,-97.1,185.6,185.6,NC,,,1.52,7.35 x 4.84 x 3.12,None,67.73,64.53,0,43.42,0,0,CVD,Click Here,Click Here,YES
Available,ADI20,56411B,INDIA,1,Radiant,G,VS2,VG,VG,VG,6400,-97.1,185.6,185.6,NC,,,1.42,6.91 x 4.88 x 3.35,None,67.43,68.81,0,47.71,0,0,CVD,Click Here,Click Here,YES
Available,NRF09,52830A,INDIA,1,Radiant,H,VS1,EX,EX,EX,6000,-97.18,169.2,169.2,NC,,,,*3.212,None,65.39,64.55,0,40.92,0,0,CVD,Click Here,Click Here,YES
Available,ADI12,54182B,INDIA,1,Radiant,H,VS2,EX,EX,EX,5500,-96.9,170.5,170.5,NC,,,1.7,7.44 x 4.37 x 2.96,None,55.22,67.69,0,44.01,0,0,CVD,Click Here,Click Here,YES
